Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Method
Kuskokwim River Sonar,,,2019,05/31,Kuskokwim River Sonar,Chinook,784,784,Sonar
Kuskokwim River Sonar,,,2019,06/01,Kuskokwim River Sonar,Chinook,788,788,Sonar
Kuskokwim River Sonar,,,2019,06/02,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,06/03,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,06/04,Kuskokwim River Sonar,Chinook,1124,1124,Sonar
Kuskokwim River Sonar,,,2019,06/05,Kuskokwim River Sonar,Chinook,869,869,Sonar
Kuskokwim River Sonar,,,2019,06/06,Kuskokwim River Sonar,Chinook,3567,3567,Sonar
Kuskokwim River Sonar,,,2019,06/07,Kuskokwim River Sonar,Chinook,4078,4078,Sonar
Kuskokwim River Sonar,,,2019,06/08,Kuskokwim River Sonar,Chinook,2514,2514,Sonar
Kuskokwim River Sonar,,,2019,06/09,Kuskokwim River Sonar,Chinook,3055,3055,Sonar
Kuskokwim River Sonar,,,2019,06/10,Kuskokwim River Sonar,Chinook,7158,7158,Sonar
Kuskokwim River Sonar,,,2019,06/11,Kuskokwim River Sonar,Chinook,4737,4737,Sonar
Kuskokwim River Sonar,,,2019,06/12,Kuskokwim River Sonar,Chinook,2097,2097,Sonar
Kuskokwim River Sonar,,,2019,06/13,Kuskokwim River Sonar,Chinook,3247,3247,Sonar
Kuskokwim River Sonar,,,2019,06/14,Kuskokwim River Sonar,Chinook,4082,4082,Sonar
Kuskokwim River Sonar,,,2019,06/15,Kuskokwim River Sonar,Chinook,1705,1705,Sonar
Kuskokwim River Sonar,,,2019,06/16,Kuskokwim River Sonar,Chinook,4277,4277,Sonar
Kuskokwim River Sonar,,,2019,06/17,Kuskokwim River Sonar,Chinook,6565,6565,Sonar
Kuskokwim River Sonar,,,2019,06/18,Kuskokwim River Sonar,Chinook,2833,2833,Sonar
Kuskokwim River Sonar,,,2019,06/19,Kuskokwim River Sonar,Chinook,5588,5588,Sonar
Kuskokwim River Sonar,,,2019,06/20,Kuskokwim River Sonar,Chinook,5182,5182,Sonar
Kuskokwim River Sonar,,,2019,06/21,Kuskokwim River Sonar,Chinook,10877,10877,Sonar
Kuskokwim River Sonar,,,2019,06/22,Kuskokwim River Sonar,Chinook,12770,12770,Sonar
Kuskokwim River Sonar,,,2019,06/23,Kuskokwim River Sonar,Chinook,6844,6844,Sonar
Kuskokwim River Sonar,,,2019,06/24,Kuskokwim River Sonar,Chinook,5784,5784,Sonar
Kuskokwim River Sonar,,,2019,06/25,Kuskokwim River Sonar,Chinook,3766,3766,Sonar
Kuskokwim River Sonar,,,2019,06/26,Kuskokwim River Sonar,Chinook,5859,5859,Sonar
Kuskokwim River Sonar,,,2019,06/27,Kuskokwim River Sonar,Chinook,6375,6375,Sonar
Kuskokwim River Sonar,,,2019,06/28,Kuskokwim River Sonar,Chinook,7560,7560,Sonar
Kuskokwim River Sonar,,,2019,06/29,Kuskokwim River Sonar,Chinook,7844,7844,Sonar
Kuskokwim River Sonar,,,2019,06/30,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/01,Kuskokwim River Sonar,Chinook,4319,4319,Sonar
Kuskokwim River Sonar,,,2019,07/02,Kuskokwim River Sonar,Chinook,1988,1988,Sonar
Kuskokwim River Sonar,,,2019,07/03,Kuskokwim River Sonar,Chinook,4505,4505,Sonar
Kuskokwim River Sonar,,,2019,07/04,Kuskokwim River Sonar,Chinook,3624,3624,Sonar
Kuskokwim River Sonar,,,2019,07/05,Kuskokwim River Sonar,Chinook,502,502,Sonar
Kuskokwim River Sonar,,,2019,07/06,Kuskokwim River Sonar,Chinook,796,796,Sonar
Kuskokwim River Sonar,,,2019,07/07,Kuskokwim River Sonar,Chinook,932,932,Sonar
Kuskokwim River Sonar,,,2019,07/08,Kuskokwim River Sonar,Chinook,625,625,Sonar
Kuskokwim River Sonar,,,2019,07/09,Kuskokwim River Sonar,Chinook,1460,1460,Sonar
Kuskokwim River Sonar,,,2019,07/10,Kuskokwim River Sonar,Chinook,1964,1964,Sonar
Kuskokwim River Sonar,,,2019,07/11,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/12,Kuskokwim River Sonar,Chinook,520,520,Sonar
Kuskokwim River Sonar,,,2019,07/13,Kuskokwim River Sonar,Chinook,3436,3436,Sonar
Kuskokwim River Sonar,,,2019,07/14,Kuskokwim River Sonar,Chinook,3031,3031,Sonar
Kuskokwim River Sonar,,,2019,07/15,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/16,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/17,Kuskokwim River Sonar,Chinook,769,769,Sonar
Kuskokwim River Sonar,,,2019,07/18,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/19,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/20,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/21,Kuskokwim River Sonar,Chinook,443,443,Sonar
Kuskokwim River Sonar,,,2019,07/22,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/23,Kuskokwim River Sonar,Chinook,563,563,Sonar
Kuskokwim River Sonar,,,2019,07/24,Kuskokwim River Sonar,Chinook,520,520,Sonar
Kuskokwim River Sonar,,,2019,07/25,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2019,07/26,Kuskokwim River Sonar,Chinook,746,746,Sonar
Kuskokwim River Sonar,,,2020,06/03,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,06/04,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,06/05,Kuskokwim River Sonar,Chinook,815,815,Sonar
Kuskokwim River Sonar,,,2020,06/06,Kuskokwim River Sonar,Chinook,677,677,Sonar
Kuskokwim River Sonar,,,2020,06/07,Kuskokwim River Sonar,Chinook,375,375,Sonar
Kuskokwim River Sonar,,,2020,06/08,Kuskokwim River Sonar,Chinook,984,984,Sonar
Kuskokwim River Sonar,,,2020,06/09,Kuskokwim River Sonar,Chinook,1190,1190,Sonar
Kuskokwim River Sonar,,,2020,06/10,Kuskokwim River Sonar,Chinook,1089,1089,Sonar
Kuskokwim River Sonar,,,2020,06/11,Kuskokwim River Sonar,Chinook,1300,1300,Sonar
Kuskokwim River Sonar,,,2020,06/12,Kuskokwim River Sonar,Chinook,2059,2059,Sonar
Kuskokwim River Sonar,,,2020,06/13,Kuskokwim River Sonar,Chinook,464,464,Sonar
Kuskokwim River Sonar,,,2020,06/14,Kuskokwim River Sonar,Chinook,342,342,Sonar
Kuskokwim River Sonar,,,2020,06/15,Kuskokwim River Sonar,Chinook,2637,2637,Sonar
Kuskokwim River Sonar,,,2020,06/16,Kuskokwim River Sonar,Chinook,894,894,Sonar
Kuskokwim River Sonar,,,2020,06/17,Kuskokwim River Sonar,Chinook,993,993,Sonar
Kuskokwim River Sonar,,,2020,06/18,Kuskokwim River Sonar,Chinook,2355,2355,Sonar
Kuskokwim River Sonar,,,2020,06/19,Kuskokwim River Sonar,Chinook,2691,2691,Sonar
Kuskokwim River Sonar,,,2020,06/20,Kuskokwim River Sonar,Chinook,2005,2005,Sonar
Kuskokwim River Sonar,,,2020,06/21,Kuskokwim River Sonar,Chinook,2073,2073,Sonar
Kuskokwim River Sonar,,,2020,06/22,Kuskokwim River Sonar,Chinook,2605,2605,Sonar
Kuskokwim River Sonar,,,2020,06/23,Kuskokwim River Sonar,Chinook,2840,2840,Sonar
Kuskokwim River Sonar,,,2020,06/24,Kuskokwim River Sonar,Chinook,2620,2620,Sonar
Kuskokwim River Sonar,,,2020,06/25,Kuskokwim River Sonar,Chinook,2935,2935,Sonar
Kuskokwim River Sonar,,,2020,06/26,Kuskokwim River Sonar,Chinook,4243,4243,Sonar
Kuskokwim River Sonar,,,2020,06/27,Kuskokwim River Sonar,Chinook,3161,3161,Sonar
Kuskokwim River Sonar,,,2020,06/28,Kuskokwim River Sonar,Chinook,1337,1337,Sonar
Kuskokwim River Sonar,,,2020,06/29,Kuskokwim River Sonar,Chinook,6626,6626,Sonar
Kuskokwim River Sonar,,,2020,06/30,Kuskokwim River Sonar,Chinook,7657,7657,Sonar
Kuskokwim River Sonar,,,2020,07/01,Kuskokwim River Sonar,Chinook,4433,4433,Sonar
Kuskokwim River Sonar,,,2020,07/02,Kuskokwim River Sonar,Chinook,5018,5018,Sonar
Kuskokwim River Sonar,,,2020,07/03,Kuskokwim River Sonar,Chinook,3038,3038,Sonar
Kuskokwim River Sonar,,,2020,07/04,Kuskokwim River Sonar,Chinook,1706,1706,Sonar
Kuskokwim River Sonar,,,2020,07/05,Kuskokwim River Sonar,Chinook,2212,2212,Sonar
Kuskokwim River Sonar,,,2020,07/06,Kuskokwim River Sonar,Chinook,4554,4554,Sonar
Kuskokwim River Sonar,,,2020,07/07,Kuskokwim River Sonar,Chinook,5681,5681,Sonar
Kuskokwim River Sonar,,,2020,07/08,Kuskokwim River Sonar,Chinook,2108,2108,Sonar
Kuskokwim River Sonar,,,2020,07/09,Kuskokwim River Sonar,Chinook,3357,3357,Sonar
Kuskokwim River Sonar,,,2020,07/10,Kuskokwim River Sonar,Chinook,3252,3252,Sonar
Kuskokwim River Sonar,,,2020,07/11,Kuskokwim River Sonar,Chinook,1663,1663,Sonar
Kuskokwim River Sonar,,,2020,07/12,Kuskokwim River Sonar,Chinook,3557,3557,Sonar
Kuskokwim River Sonar,,,2020,07/13,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/14,Kuskokwim River Sonar,Chinook,1638,1638,Sonar
Kuskokwim River Sonar,,,2020,07/15,Kuskokwim River Sonar,Chinook,2129,2129,Sonar
Kuskokwim River Sonar,,,2020,07/16,Kuskokwim River Sonar,Chinook,2032,2032,Sonar
Kuskokwim River Sonar,,,2020,07/17,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/18,Kuskokwim River Sonar,Chinook,568,568,Sonar
Kuskokwim River Sonar,,,2020,07/19,Kuskokwim River Sonar,Chinook,447,447,Sonar
Kuskokwim River Sonar,,,2020,07/20,Kuskokwim River Sonar,Chinook,166,166,Sonar
Kuskokwim River Sonar,,,2020,07/21,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/22,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/23,Kuskokwim River Sonar,Chinook,450,450,Sonar
Kuskokwim River Sonar,,,2020,07/24,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/25,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/26,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/27,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/28,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/29,Kuskokwim River Sonar,Chinook,189,189,Sonar
Kuskokwim River Sonar,,,2020,07/30,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,07/31,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/01,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/02,Kuskokwim River Sonar,Chinook,860,860,Sonar
Kuskokwim River Sonar,,,2020,08/03,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/04,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/05,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/06,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/07,Kuskokwim River Sonar,Chinook,322,322,Sonar
Kuskokwim River Sonar,,,2020,08/08,Kuskokwim River Sonar,Chinook,0,0,Sonar
Kuskokwim River Sonar,,,2020,08/09,Kuskokwim River Sonar,Chinook,225,225,Sonar
Kuskokwim River Sonar,,,2020,08/10,Kuskokwim River Sonar,Chinook,0,0,Sonar
